id_arista,origen,destino,rol_origen,rol_destino,comunidad_origen,comunidad_destino,tipo_relacion,peso,monto,fecha,riesgo,comentario
E034,INT_BOBA_FETT,FUN_KRENNIC,INTERMEDIARIO,FUNCIONARIO,INTERMEDIARIOS,COMPRAS,FAVOR,5,0,2026-02-25,1,Reunión informal en cafetería céntrica.
E035,INT_BOBA_FETT,FUN_PIETT,INTERMEDIARIO,FUNCIONARIO,INTERMEDIARIOS,FISCALIZACION,MENSAJE,2,0,2026-02-16,0,Adjudicación directa sin concurso público.
E036,EMP_VADER,INT_BOBA_FETT,EMPRESARIO,INTERMEDIARIO,PROVEEDORES,INTERMEDIARIOS,TRANSFERENCIA,5,38,2026-01-31,1,Reunión informal en cafetería céntrica.
E037,EMP_XIZOR,INT_BOBA_FETT,EMPRESARIO,INTERMEDIARIO,PROVEEDORES,INTERMEDIARIOS,TRANSFERENCIA,4,77,2026-01-08,1,Llamada telefónica fuera de horario laboral.
E038,INT_BOBA_FETT,CON_JABBA,INTERMEDIARIO,CONTACTO,INTERMEDIARIOS,PROVEEDORES,REUNION,4,0,2026-01-10,1,Modificación de contrato a última hora.
E039,FUN_HOFF,EMP_VADER,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,3,25,2026-02-03,1,Coordinación de bases de licitación.
E040,EMP_VADER,FUN_HOFF,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,1,73,2026-01-02,1,Encubrimiento de faltas administrativas.
E041,FUN_JERJERROD,EMP_VADER,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,4,42,2026-03-29,1,Transferencia de fondos a cuenta externa.
E042,EMP_VADER,FUN_JERJERROD,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,2,91,2026-03-08,1,Adjudicación directa sin concurso público.
E043,FUN_GRIEVOUS,EMP_VADER,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,3,75,2026-03-17,1,Mensaje encriptado detectado por auditoría.
E044,EMP_VADER,FUN_GRIEVOUS,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,2,34,2026-02-09,1,Reunión informal en cafetería céntrica.
E045,FUN_OURO,EMP_VADER,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,5,46,2026-01-24,1,Encubrimiento de faltas administrativas.
E046,EMP_VADER,FUN_OURO,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,4,62,2026-02-15,1,Favor político solicitado con urgencia.
E047,FUN_GRIEVOUS,EMP_XIZOR,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,1,82,2026-01-24,1,Mensaje encriptado detectado por auditoría.
E048,EMP_XIZOR,FUN_GRIEVOUS,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,5,50,2026-03-01,1,Modificación de contrato a última hora.
E049,FUN_OURO,EMP_XIZOR,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,4,44,2026-02-19,1,Reunión informal en cafetería céntrica.
E050,EMP_XIZOR,FUN_OURO,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,2,69,2026-02-24,1,Llamada telefónica fuera de horario laboral.
E051,FUN_JERJERROD,EMP_GUNRAY,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,3,38,2026-01-04,1,Llamada telefónica fuera de horario laboral.
E052,EMP_GUNRAY,FUN_JERJERROD,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,3,98,2026-03-29,1,Mensaje encriptado detectado por auditoría.
E053,FUN_GRIEVOUS,EMP_GUNRAY,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,2,70,2026-03-13,1,Transferencia de fondos a cuenta externa.
E054,EMP_GUNRAY,FUN_GRIEVOUS,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,2,90,2026-01-21,1,Adjudicación directa sin concurso público.
E055,FUN_KRENNIC,EMP_RENN,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,2,59,2026-03-01,1,Modificación de contrato a última hora.
E056,EMP_RENN,FUN_KRENNIC,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,3,49,2026-03-31,1,Llamada telefónica fuera de horario laboral.
E057,FUN_JERJERROD,EMP_RENN,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,1,45,2026-03-22,1,Mensaje encriptado detectado por auditoría.
E058,EMP_RENN,FUN_JERJERROD,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,3,69,2026-01-14,1,Encubrimiento de faltas administrativas.
E059,FUN_OURO,EMP_RENN,FUNCIONARIO,EMPRESARIO,COMPRAS,PROVEEDORES,ADJUDICACION,5,88,2026-01-24,1,Adjudicación directa sin concurso público.
E060,EMP_RENN,FUN_OURO,EMPRESARIO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,1,26,2026-01-19,1,Mensaje encriptado detectado por auditoría.
E061,FUN_GRIEVOUS,CON_JABBA,FUNCIONARIO,CONTACTO,COMPRAS,PROVEEDORES,ADJUDICACION,2,71,2026-03-21,1,Presión indebida para acelerar firma.
E062,CON_JABBA,FUN_GRIEVOUS,CONTACTO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,3,76,2026-03-27,1,Llamada telefónica fuera de horario laboral.
E063,FUN_HOFF,CON_LANDO,FUNCIONARIO,CONTACTO,COMPRAS,PROVEEDORES,ADJUDICACION,1,41,2026-02-14,1,Coordinación de bases de licitación.
E064,CON_LANDO,FUN_HOFF,CONTACTO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,4,17,2026-02-03,1,Transferencia de fondos a cuenta externa.
E065,FUN_OURO,CON_LANDO,FUNCIONARIO,CONTACTO,COMPRAS,PROVEEDORES,ADJUDICACION,1,51,2026-03-10,1,Coordinación de bases de licitación.
E066,CON_LANDO,FUN_OURO,CONTACTO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,3,37,2026-03-02,1,Adjudicación directa sin concurso público.
E067,FUN_KRENNIC,CON_MAUL,FUNCIONARIO,CONTACTO,COMPRAS,PROVEEDORES,ADJUDICACION,3,61,2026-02-07,1,Transferencia de fondos a cuenta externa.
E068,CON_MAUL,FUN_KRENNIC,CONTACTO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,1,93,2026-01-14,1,Encubrimiento de faltas administrativas.
E069,FUN_JERJERROD,CON_MAUL,FUNCIONARIO,CONTACTO,COMPRAS,PROVEEDORES,ADJUDICACION,4,69,2026-03-22,1,Encubrimiento de faltas administrativas.
E070,CON_MAUL,FUN_JERJERROD,CONTACTO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,3,91,2026-03-31,1,Presión indebida para acelerar firma.
E071,FUN_GRIEVOUS,CON_MAUL,FUNCIONARIO,CONTACTO,COMPRAS,PROVEEDORES,ADJUDICACION,3,81,2026-03-19,1,Llamada telefónica fuera de horario laboral.
E072,CON_MAUL,FUN_GRIEVOUS,CONTACTO,FUNCIONARIO,PROVEEDORES,COMPRAS,TRANSFERENCIA,5,33,2026-03-06,1,Modificación de contrato a última hora.
E073,POL_PADME,CON_JABBA,POLITICO,CONTACTO,GABINETE,PROVEEDORES,PRESION,5,0,2026-03-02,0,Encubrimiento de faltas administrativas.
E074,EMP_RENN,INT_CAD_BANE,EMPRESARIO,INTERMEDIARIO,PROVEEDORES,INTERMEDIARIOS,LLAMADA,4,0,2026-02-24,0,Modificación de contrato a última hora.
E075,ASE_PESTAGE,POL_VALORUM,ASESOR,POLITICO,GABINETE,GABINETE,ENCUBRIMIENTO,4,0,2026-03-07,0,Modificación de contrato a última hora.
E076,ASE_THRAWN,CON_JABBA,ASESOR,CONTACTO,GABINETE,PROVEEDORES,FAVOR,2,0,2026-01-10,0,Encubrimiento de faltas administrativas.
E077,FUN_NEEDA,EMP_XIZOR,FUNCIONARIO,EMPRESARIO,FISCALIZACION,PROVEEDORES,MENSAJE,4,0,2026-03-16,0,Favor político solicitado con urgencia.
E078,ASE_PESTAGE,FUN_PIETT,ASESOR,FUNCIONARIO,GABINETE,FISCALIZACION,FAVOR,1,0,2026-02-09,0,Presión indebida para acelerar firma.
E079,ASE_PESTAGE,CON_JABBA,ASESOR,CONTACTO,GABINETE,PROVEEDORES,PRESION,3,0,2026-02-17,1,Modificación de contrato a última hora.
E080,POL_VALORUM,INT_GREEDO,POLITICO,INTERMEDIARIO,GABINETE,INTERMEDIARIOS,FAVOR,5,0,2026-01-27,0,Mensaje encriptado detectado por auditoría.
E081,CON_MAUL,INT_CAD_BANE,CONTACTO,INTERMEDIARIO,PROVEEDORES,INTERMEDIARIOS,FAVOR,3,0,2026-01-02,0,Llamada telefónica fuera de horario laboral.
E082,ASE_DOOKU,FUN_PIETT,ASESOR,FUNCIONARIO,GABINETE,FISCALIZACION,REUNION,1,0,2026-01-07,0,Adjudicación directa sin concurso público.
E083,CON_JABBA,CON_MAUL,CONTACTO,CONTACTO,PROVEEDORES,PROVEEDORES,LLAMADA,1,0,2026-02-06,0,Transferencia de fondos a cuenta externa.
E084,INT_CAD_BANE,POL_VALORUM,INTERMEDIARIO,POLITICO,INTERMEDIARIOS,GABINETE,ENCUBRIMIENTO,2,0,2026-01-04,0,Coordinación de bases de licitación.
E085,EMP_VADER,MIN_PALPATINE,EMPRESARIO,POLITICO,PROVEEDORES,GABINETE,FAVOR,4,0,2026-01-16,0,Mensaje encriptado detectado por auditoría.
